GEOID,NAME,year,total_pop,white_nh,black_nh,native_nh,asian_nh,nhpi_nh,other_nh,two_plus_nh,hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_poc,median_income,median_home_value,housing_units_total,owner_occupied,renter_occupied,homeownership_rate,renter_rate
06001443001,"Census Tract 4430.01, Alameda County, California",2009,3306,843,285,0,804,0,0,183,1191,0.25499092558983666,0.08620689655172414,0.24319419237749546,0.3602540834845735,0.7450090744101634,100928,558500,779,636,143,0.8164313222079589,0.18356867779204109
06001443002,"Census Tract 4430.02, Alameda County, California",2009,5306,2066,109,16,1510,0,74,270,1261,0.38937052393516774,0.020542781756502072,0.2845834903882397,0.23765548435733133,0.6106294760648323,93026,527900,1660,1294,366,0.7795180722891566,0.22048192771084338
06001443101,"Census Tract 4431.01, Alameda County, California",2009,9522,2199,98,0,6625,20,0,225,355,0.2309388783868935,0.010291955471539592,0.6957571938668347,0.03728208359588322,0.7690611216131065,139496,948500,2811,2299,512,0.8178584133760227,0.18214158662397723
06001443102,"Census Tract 4431.02, Alameda County, California",2009,4881,1335,110,0,3069,0,23,48,296,0.2735095267363245,0.02253636549887318,0.6287645974185617,0.06064331079696784,0.7264904732636754,133188,932800,1367,1160,207,0.8485735186539868,0.15142648134601316
06001443103,"Census Tract 4431.03, Alameda County, California",2009,4589,1411,47,0,3010,10,0,111,0,0.3074743952930922,0.010241882763129222,0.6559163216387013,0,0.6925256047069078,202361,1000001,998,942,56,0.9438877755511023,0.056112224448897796
06001443200,"Census Tract 4432, Alameda County, California",2009,3456,944,34,0,2263,0,44,142,29,0.27314814814814814,0.009837962962962963,0.6548032407407407,0.008391203703703705,0.7268518518518519,189583,1000001,1065,1043,22,0.9793427230046948,0.020657276995305163
06001443301,"Census Tract 4433.01, Alameda County, California",2009,3784,1284,77,0,1866,82,21,102,352,0.339323467230444,0.020348837209302327,0.4931289640591966,0.09302325581395349,0.6606765327695561,118143,773400,1162,1090,72,0.9380378657487092,0.06196213425129088
06001443302,"Census Tract 4433.02, Alameda County, California",2009,5608,1527,313,9,3303,12,0,168,276,0.27228958630527816,0.055813124108416545,0.5889800285306704,0.049215406562054205,0.7277104136947219,91766,584700,1996,1337,659,0.6698396793587175,0.3301603206412826
06001444100,"Census Tract 4441, Alameda County, California",2009,7575,3638,132,0,1648,0,45,472,1640,0.48026402640264027,0.017425742574257427,0.21755775577557757,0.2165016501650165,0.5197359735973597,92005,671800,2446,2163,283,0.884300899427637,0.11569910057236305
06001444200,"Census Tract 4442, Alameda County, California",2009,5942,2653,82,0,1461,0,9,176,1561,0.44648266576910134,0.013800067317401549,0.2458768091551666,0.2627061595422417,0.5535173342308987,79019,544300,1865,1460,405,0.7828418230563002,0.21715817694369974
06001444300,"Census Tract 4443, Alameda County, California",2009,8571,2023,619,0,2333,297,24,273,3002,0.23602846809007116,0.0722202776805507,0.27219694318049237,0.3502508458756271,0.7639715319099288,83077,603400,2420,1550,870,0.640495867768595,0.359504132231405
06001444400,"Census Tract 4444, Alameda County, California",2009,5148,1262,168,0,726,0,35,63,2894,0.24514374514374515,0.03263403263403263,0.14102564102564102,0.5621600621600622,0.7548562548562548,67857,487200,1334,918,416,0.6881559220389805,0.3118440779610195
06001444500,"Census Tract 4445, Alameda County, California",2009,6257,1251,128,0,2051,23,0,135,2669,0.19993607159980822,0.020457088061371264,0.32779287198337864,0.42656225027968675,0.8000639284001918,74832,502500,1827,1093,734,0.5982484948002189,0.4017515051997811
06001444600,"Census Tract 4446, Alameda County, California",2009,8124,2716,474,0,2974,245,24,227,1464,0.33431806991629737,0.058345642540620385,0.3660758247168882,0.18020679468242246,0.6656819300837027,98492,540200,2850,2107,743,0.7392982456140351,0.26070175438596493
06001450100,"Census Tract 4501, Alameda County, California",2009,12325,4225,2373,119,3159,34,13,279,2123,0.34279918864097364,0.19253549695740366,0.2563083164300203,0.17225152129817445,0.6572008113590264,116528,785000,2671,1369,1302,0.5125421190565331,0.48745788094346687
06001450200,"Census Tract 4502, Alameda County, California",2009,4634,2818,312,0,554,341,0,63,546,0.6081139404402244,0.06732844195079844,0.119551143720328,0.11782477341389729,0.3918860595597756,83960,625500,2090,641,1449,0.3066985645933014,0.6933014354066985
06001450300,"Census Tract 4503, Alameda County, California",2009,5113,3423,274,0,583,0,12,165,656,0.6694699784862116,0.05358889106199883,0.11402307842753764,0.1283004107177782,0.3305300215137884,93988,607600,1724,1102,622,0.6392111368909513,0.36078886310904873
06001450400,"Census Tract 4504, Alameda County, California",2009,6084,4080,35,0,931,0,0,161,877,0.6706114398422091,0.005752794214332676,0.1530243261012492,0.14414858645627876,0.32938856015779094,94375,601700,1963,1424,539,0.7254202750891493,0.27457972491085075
06001450500,"Census Tract 4505, Alameda County, California",2009,7451,5208,227,0,1324,0,0,161,531,0.6989665816668903,0.030465709300764997,0.1776942692256073,0.07126560193262649,0.3010334183331097,121496,725900,2685,2379,306,0.8860335195530726,0.11396648044692738
06001450601,"Census Tract 4506.01, Alameda County, California",2009,3187,2131,0,0,618,0,130,68,240,0.6686539064951365,0,0.19391277063068715,0.07530593034201444,0.33134609350486355,142983,1000001,1175,1056,119,0.8987234042553192,0.10127659574468086
